Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2020,1,1,17,01/01/2020 16:00:00,5451.75419839577,1832.20982805212,5205.06155750732,2996.69519485724,133.980358206058,8130.65617433175,11438.7511865136,1858.52039610952,8107.12927615631,1279.75,2164.88077008381,49481.3889402135,-882,10203,9321,0,615,3404,855,348,1224,1399,1202,0,1925,1407,3032,1959,1173,440,175,364,2,0,0,35.98,20433.6401619034,456.299852982742
2020,1,1,18,01/01/2020 17:00:00,5457.64798671836,1842.24566789904,6437.76265097834,3767.13018114212,0,8126.88709581592,11435.1652105046,1917.51624133846,8164.2112746741,3436.75,2160.90402145995,53792.2203305308,-1046,9811,8765,0,615,3547,1612,348,1538,1126,1375,0,1915,1271,1817,1893,649,185,286,395,4,0,0,40.4,20492.3963418637,440.224787437965
2020,1,1,19,01/01/2020 18:00:00,5492.44940348031,1819.49776424603,7606.87491072434,4472.64935212278,0,8124.62564870643,11368.3123720505,1727.82190821772,8286.3342724508,4505,2161.20992520024,54565.7755571992,999,7824,8823,0,615,1822,627,971,965,1316,1642,0,1905,2030,1527,2086,124,190,415,408,4,0,0,44.05,20311.0737460496,420.863594693632
2020,1,1,20,01/01/2020 19:00:00,5484.87167563698,1800.09514054199,8476.48861773491,4732.0610016524,0,8129.39981482647,10954.1321430077,1542.66571703768,8342.1662709686,3868.5,2168.24571122708,53968.6260926339,1530,8722,10252,0,615,1701,542,1082,427,1105,1639,0,1905,3903,2383,1848,736,213,471,400,4,0,0,43.15,19741.6575510847,404.033374682814
2020,1,1,21,01/01/2020 20:00:00,5492.73006006711,1792.40099665935,9204.84773990592,4428.11408348384,0,8129.39981482647,11330.4034828122,1518.76483615006,8341.47776985695,2957.25,2166.4102887853,51229.7990725472,4132,8047,12179,0,615,2708,877,1224,468,1318,1807,60,1955,4168,1017,1948,673,385,632,368,3,0,0,43.45,20128.8438159144,404.385437332779
2020,1,1,22,01/01/2020 21:00:00,5504.2369801255,1798.4225005675,9698.51067042769,4042.64497865418,0,8114.32350076318,11485.6250157745,1514.22669420937,8191.59252004222,1545.75,2167.93980748678,50591.2726680509,3472,7862,11334,0,615,3138,797,975,443,1280,1772,0,1895,2823,1456,2486,505,285,377,347,2,0,0,40.68,20240.7758159538,405.447101396327
2020,1,1,23,01/01/2020 22:00:00,5504.51763671228,1881.71997129691,8671.86652288242,3786.75589274571,0,8111.30823795052,11494.3338146535,1499.70463999917,8160.59252004222,1786.5,2165.7984813047,48638.0977175875,4425,9523,13948,0,615,3195,521,978,210,1434,1971,10,1905,5042,1630,2710,2233,170,436,409,2,0,0,40.27,20223.1003982312,414.5659039538
2020,1,1,24,01/01/2020 23:00:00,5477.29394779366,1783.03421280223,8179.65982519405,3842.6136873098,0,8108.04170323681,11499.4566375236,1501.51989677544,7830.42451856002,1090.5,2165.4925775644,46281.03700676,5197,9309,14506,0,615,3348,622,909,295,1222,1839,30,1915,6640,1509,1946,2134,21,376,390,4,0,0,34.85,20105.8624043875,418.756551559497
2020,1,2,1,01/02/2020 00:00:00,5468.87425018996,1794.74269262363,7753.2263104808,4245.44399855804,0,8120.3540263885,11298.129698731,1329.37304582537,7693.10076763365,184.75,2161.20992520024,47026.2047156312,3023,6159,9182,0,615,2762,33,675,384,1000,1789,0,1885,3006,779,1362,0,0,671,377,3,0,0,35.4,19687.100982336,414.885077327705
2020,1,2,2,01/02/2020 01:00:00,5443.89581396565,1810.4655083838,6985.79160728029,4637.70661894279,0,8134.92779664968,11261.2453740667,1297.60605224056,7694.80976837475,121,2160.59811771965,45713.0466576238,3835,5129,8964,0,615,3629,97,751,261,1113,1411,0,1885,2460,149,660,0,0,706,351,5,0,0,31.98,19620.5653925715,416.732685783064
