Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,DE>BE,BE>DE,Day-Ahead Spot price Euro/MWh,Emissions of power production t CO2,Emission factor g/kWh
2021,1,1,11,01/01/2021 10:00:00,5418.86264857685,1608.26791567191,1941.79471510138,451.497009694453,3898.21278886924,8181.32580405405,11767.5997088974,3398.47165577358,10814.9511932841,121.5,2147.76697951081,49354.0004194338,396.25,8307.25,8703.5,0,615,1022,170,1919,8,0,2907,258,2415,2142,935,2164,0,75,260,369,0,0,700,754.5,297.25,45,23220.3051637571,492.016863957534
2021,1,1,12,01/01/2021 11:00:00,5433.69990461041,1609.65584914822,1661.72580532545,566.405032432005,5531.11558440764,8180.32334416077,11412.2729920084,3383.46736590262,11428.9308969624,88,2122.80038869086,51986.6471636487,-568.25,8798.75,8230.5,0,615,880,200,1598,20,0,2820,291,2429,2179,1203,1907,0,200,260,395,0,0,700,780.5,551.75,47.2,23003.0998462503,471.704579024826
2021,1,1,13,01/01/2021 12:00:00,5428.06174731766,1623.5351839113,1356.33020748375,679.53350614486,6300.25065416863,8173.05550993447,11020.1970782942,3541.29026676758,11730.1808969624,381.5,2136.5640220916,52416.4990730764,-46,8777,8731,0,615,587,230,1312,53,0,2791,157,2628,3274,1012,1888,2,240,265,405,0,0,700,868,481,50.78,22832.5810991875,462.167118933168
2021,1,1,14,01/01/2021 13:00:00,5438.15108142048,1625.61708412576,1201.66528715973,849.861769937249,5526.87343086208,8173.55673988111,11024.7590475552,3501.27882711168,11681.4106006406,272.75,2143.60588104082,52015.5297497348,-576,9208,8632,0,615,428,248,1789,84,4,2655,160,2687,2891,1159,1880,12,260,402,383,0,0,700,837,646,45.49,22798.459036434,469.095784624433
2021,1,1,15,01/01/2021 14:00:00,5452.98833745404,1618.67741674422,1273.95699872613,814.270789443317,3556.88258820314,8174.80981474771,10992.3183772544,3432.09237937334,11851.7371685334,276.5,2153.84858496695,50927.3324554466,-1329.25,8847.25,7518,0,615,578,211,1760,66,10,2362,121,2475,2143,1186,1642,200,210,424,373,0,0,700,681,608.25,44.73,22787.8658053739,486.823007706022
2021,1,1,16,01/01/2021 15:00:00,5472.57351541834,1621.10630032776,1599.26970077489,679.025063566375,1233.16140374492,8176.81473453428,11004.9905140907,3833.31820481174,12214.2574648551,299.5,2141.36528955697,50397.8821916811,-2122.5,8926,6803.5,0,413,671,181,1589,128,93,2355,38,2485,1816,1284,1454,5,210,423,372,0,0,700,560.5,952,46.59,23245.2740585436,511.00012711065
2021,1,1,17,01/01/2021 16:00:00,5472.27677029767,1657.53955408085,2187.93078067266,845.794229309371,57.1059131133532,8176.06288961432,11024.7590475552,4108.95256688576,12656.7980574986,923.5,2158.32976793463,52074.7995769624,-2805.75,8847.5,6041.75,0,162,1080,327,1371,722,75,1730,85,2350,1351,1155,1233,476,185,482,386,0,0,700,275.75,743.5,52.99,23688.3472449709,517.475999377049
2021,1,1,18,01/01/2021 17:00:00,5482.66284952116,1679.05252296362,2987.81152123551,765.206080619539,0,8171.0505901479,11153.0010723383,4548.8005458809,12702.9714896058,2665.5,2137.52427558467,55322.3309478974,-3028.75,9285.25,6256.5,0,615,1193,316,916,966,0,1955,0,2154,1150,892,1919,479,0,265,423,0,0,700,655.5,943.25,60.26,24171.8793769406,515.402454088025
2021,1,1,19,01/01/2021 18:00:00,5489.4879872966,1671.41888884393,3637.45336463146,710.548503432429,0,8170.79997517458,11151.4804159179,4497.11910299202,12783.894921713,3080.25,2119.91962821164,55666.3727882136,-2354,9213,6859,0,615,1175,435,949,482,0,1980,128,2207,1802,1091,1680,386,0,313,434,0,0,700,691,1004,60.61,24129.0390062509,508.128372097155
2021,1,1,20,01/01/2021 19:00:00,5502.54477260613,1639.84340225792,3997.92836176184,789.86554567605,0,8174.80981474771,11152.7476296016,4547.9669742214,12827.4355143565,3181,2101.03464284783,54397.6766580769,-482.5,8768.25,8285.75,0,615,524,404,1083,185,75,1680,154,2449,3255,981,1789,374,0,357,429,0,0,700,976.75,1023.25,60.36,24156.4952207227,502.728817901955
