Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,1,13,01/01/2019 12:00:00,5262.78224768219,2310.05003140499,33954.8386201472,2504.37776178293,2396.44090808118,6973.55573851821,5160.85714373137,2456.67943231703,7622.98271906455,1,2148.32118366654,57412.8857863963,13379,486,13865,67,0,5506,12,800,0,800,5,958,438,4681,0,646,0,0,0,407,31,0.12,13545.0162283127,198.302943636484
2019,1,1,14,01/01/2019 13:00:00,5259.02886248262,2268.91511988044,34761.5251205637,2267.94701711639,2154.56869365515,6972.05157435849,5168.71312679977,2457.76202763809,7541.23271906455,32,2182.64259178717,56852.3868533464,14214,202,14416,67,0,5126,0,800,0,1000,5,1355,166,4578,0,1096,0,0,0,394,31,-0.02,13575.3046808596,197.970277490099
2019,1,1,15,01/01/2019 14:00:00,5257.95646671131,2317.98834766412,35221.0719384239,2229.70086724387,1392.97993413613,7035.97855114686,5176.0453776636,2461.00981360127,7532.37130547285,76.75,2151.05694808195,55723.9095501459,15129,218,15347,67,0,4930,1,800,0,900,5,1659,179,5015,0,1596,0,0,0,380,33,0,13535.2391378637,197.990484447812
2019,1,1,16,01/01/2019 15:00:00,5251.25399314065,2251.59515713326,35327.6298336555,2106.27011083707,477.838559021451,7290.68368219386,5235.22711677885,2483.47366651328,7608.42837343132,1020.75,2099.57483590101,55275.7253286063,15877,326,16203,67,0,4813,11,800,0,1278,5,1928,278,5431,0,1510,0,0,0,376,32,-0.03,13569.3500974481,200.32019520175
2019,1,1,17,01/01/2019 16:00:00,5248.57300371239,2251.23432457603,36355.5701976793,2201.63713389584,23.3550306937451,7527.08814929753,5164.78513526557,2326.76799378974,7688.40120061471,2305.5,2083.65766112043,57348.5698306453,15828,402,16230,67,0,4807,16,800,0,1500,60,1800,292,5595,0,1274,0,0,0,387,34,1.97,13370.8214295068,195.515190621828
2019,1,1,18,01/01/2019 17:00:00,5243.74722274152,2085.97301336337,36908.9591714833,2251.80416165072,0,7675.4990130572,5188.09121836848,2331.36902390425,7679.90120061471,3398.25,2090.37271923099,60023.9667444145,14830,315,15145,67,0,4354,33,800,0,1402,50,1808,192,4911,0,1375,0,0,0,428,40,9.06,13406.8650785338,194.707537606428
2019,1,1,19,01/01/2019 18:00:00,5265.46323711045,2065.40555760109,36950.6667963472,2192.44812386153,0,7519.81802252552,5111.62631650276,2317.0246359002,7556.70554624794,3068.25,2094.35201292613,60266.7602490228,13875,323,14198,67,0,4381,16,800,0,1200,0,1786,260,3607,0,1916,0,0,0,441,47,0.07,13271.6053218966,193.848774279406
2019,1,1,20,01/01/2019 19:00:00,5243.47912379869,2045.55976695328,36667.1058102298,2158.92065481743,0,7119.20896798505,5120.79163008256,2332.18097039505,7557.81695983963,2386.75,2089.87530751909,59300.6891916206,13421,421,13842,67,0,4296,3,800,0,900,0,1914,366,3485,0,1948,0,0,0,432,52,-4.97,13287.6613233575,196.078731485912
2019,1,1,21,01/01/2019 20:00:00,5235.70425445672,2033.29146000736,36677.5327164458,2128.12505362137,0,6616.81813863644,5086.22530458161,2326.22669612921,7802.23816371504,1194.75,2097.58518905344,57645.496976647,13553,503,14056,67,0,4090,0,800,0,900,10,1853,440,4033,0,1894,0,0,0,419,53,-6.98,13348.3238170904,197.731111174057
2019,1,1,22,01/01/2019 21:00:00,5239.18954071347,2017.41482748912,36542.4915652096,1833.0833260333,0,6168.82791306459,5107.43645886628,2339.48848881221,7756.29250934827,368,2098.33130662128,56044.5559361581,13426,397,13823,67,0,4304,206,800,0,900,10,2212,127,3240,0,1896,0,0,0,404,54,-24.93,13366.1578235686,200.465534783281
2019,1,1,23,01/01/2019 22:00:00,5207.28576651713,1999.7340321847,35590.8456369125,1827.37123871468,0,6093.11831702503,5109.26952158224,2323.79085665683,7789.76533653166,1040.75,2092.11366022261,56959.0443663473,12115,356,12471,67,0,4299,0,800,0,900,50,1013,255,3459,0,1480,0,0,0,453,51,-4.87,13358.5690642449,203.740061658629
2019,1,1,24,01/01/2019 23:00:00,5199.51089717516,1942.00082302744,35297.3663741506,1754.35586168531,0,6000.61222120185,5098.53301138877,2194.69136462034,8050.24360836554,10.25,2086.89083724773,55191.4549988627,12443,365,12808,67,0,3917,0,800,0,1000,10,1806,298,3413,0,1364,0,0,0,441,57,-28.93,13331.3512994769,204.361438843696
